#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
305269704 ; 3.67339 ; 3.302 ; 0 ; 0
305430704 ; 3.68556 ; 3.30505 ; 0 ; 0
305613704 ; 3.69165 ; 3.30208 ; 0 ; 0
305781704 ; 16.6308 ; 3.30536 ; 0 ; 0
305950704 ; 16.6734 ; 3.30528 ; 0 ; 0
306119704 ; 16.6734 ; 3.30582 ; 0 ; 0
306293704 ; 16.6929 ; 3.30536 ; 0 ; 0
306464704 ; 16.6843 ; 3.30551 ; 0 ; 0
306641704 ; 16.7148 ; 3.30574 ; 0 ; 0
306822704 ; 3.66974 ; 3.30238 ; 0 ; 0
306993704 ; 3.68556 ; 3.30231 ; 0 ; 0
307162704 ; 3.68678 ; 3.30231 ; 0 ; 0
307337704 ; 3.68556 ; 3.30238 ; 0 ; 0
