#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3602308000 ; 1.80825 ; 3.30223 ; 0 ; 0
3602477000 ; 1.81433 ; 3.30208 ; 0 ; 0
3602649000 ; 1.81068 ; 3.30185 ; 0 ; 0
3602821000 ; 1.82894 ; 3.302 ; 0 ; 0
3602995000 ; 1.80825 ; 3.30231 ; 0 ; 0
3603151000 ; 1.81799 ; 3.30215 ; 0 ; 0
3603319000 ; 1.82894 ; 3.30223 ; 0 ; 0
3603491000 ; 1.8119 ; 3.30322 ; 0 ; 0
3603676000 ; 16.5955 ; 3.30505 ; 0 ; 0
3603848000 ; 16.4896 ; 3.30521 ; 0 ; 0
3604022000 ; 17.2115 ; 3.30513 ; 0 ; 0
3604203000 ; 17.2018 ; 3.30544 ; 0 ; 0
3604378000 ; 16.3995 ; 3.30544 ; 0 ; 0
3604553000 ; 16.4165 ; 3.30734 ; 0 ; 0
3604735000 ; 16.0549 ; 3.30536 ; 0 ; 0
3604923000 ; 16.0793 ; 3.30559 ; 0 ; 0
3605101000 ; 16.6685 ; 3.30551 ; 0 ; 0
3605279000 ; 16.7233 ; 3.30597 ; 0 ; 0
3605463000 ; 1.82407 ; 3.302 ; 0 ; 0
3605648000 ; 1.80946 ; 3.30177 ; 0 ; 0
3605822000 ; 1.80094 ; 3.30193 ; 0 ; 0
3606002000 ; 1.8119 ; 3.30162 ; 0 ; 0
3606181000 ; 1.82286 ; 3.30193 ; 0 ; 0
3606362000 ; 1.81799 ; 3.30215 ; 0 ; 0
3606540000 ; 1.8119 ; 3.30147 ; 0 ; 0
3606735000 ; 1.8192 ; 3.30193 ; 0 ; 0
