#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3536158000 ; 1.80094 ; 3.302 ; 0 ; 0
3536328000 ; 1.83625 ; 3.30177 ; 0 ; 0
3536507000 ; 1.8192 ; 3.302 ; 0 ; 0
3536723000 ; 1.82286 ; 3.30185 ; 0 ; 0
3536900000 ; 1.82042 ; 3.30215 ; 0 ; 0
3537088000 ; 1.81068 ; 3.30208 ; 0 ; 0
3537263000 ; 1.82286 ; 3.30147 ; 0 ; 0
3537446000 ; 1.8119 ; 3.30254 ; 0 ; 0
3537621000 ; 1.82651 ; 3.30177 ; 0 ; 0
3537802000 ; 14.4613 ; 3.30475 ; 0 ; 0
3537973000 ; 14.4394 ; 3.30521 ; 0 ; 0
3538148000 ; 14.4601 ; 3.30475 ; 0 ; 0
3538320000 ; 14.4686 ; 3.30528 ; 0 ; 0
3538497000 ; 14.4881 ; 3.30544 ; 0 ; 0
3538673000 ; 14.5039 ; 3.30452 ; 0 ; 0
3538865000 ; 14.5124 ; 3.30482 ; 0 ; 0
3539044000 ; 14.5258 ; 3.30513 ; 0 ; 0
3539223000 ; 14.527 ; 3.3049 ; 0 ; 0
3539408000 ; 1.90199 ; 3.30238 ; 0 ; 0
3539579000 ; 1.82407 ; 3.30231 ; 0 ; 0
3539760000 ; 1.82529 ; 3.30246 ; 0 ; 0
3539943000 ; 1.8192 ; 3.30223 ; 0 ; 0
3540130000 ; 1.81555 ; 3.30261 ; 0 ; 0
3540303000 ; 1.81433 ; 3.30231 ; 0 ; 0
3540481000 ; 1.80946 ; 3.30223 ; 0 ; 0
3540652000 ; 1.80094 ; 3.3017 ; 0 ; 0
