#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
77879000 ; 4.20687 ; 3.30261 ; 0 ; 0
78045000 ; 4.17521 ; 3.30551 ; 0 ; 0
78216000 ; 4.202 ; 3.30269 ; 0 ; 0
78388000 ; 4.21539 ; 3.30322 ; 0 ; 0
78563000 ; 4.20321 ; 3.30299 ; 0 ; 0
78727000 ; 4.18739 ; 3.30261 ; 0 ; 0
78899000 ; 16.3303 ; 3.30551 ; 0 ; 0
79060000 ; 16.4009 ; 3.30559 ; 0 ; 0
79236000 ; 16.3839 ; 3.30589 ; 0 ; 0
79409000 ; 16.4995 ; 3.30566 ; 0 ; 0
79580000 ; 16.4399 ; 3.30597 ; 0 ; 0
79757000 ; 16.4594 ; 3.30597 ; 0 ; 0
79931000 ; 16.4825 ; 3.30536 ; 0 ; 0
80101000 ; 16.4703 ; 3.30559 ; 0 ; 0
80269000 ; 16.463 ; 3.30818 ; 0 ; 0
80442000 ; 16.508 ; 3.30559 ; 0 ; 0
80609000 ; 16.5847 ; 3.30605 ; 0 ; 0
80782000 ; 16.519 ; 3.30605 ; 0 ; 0
80961000 ; 16.5154 ; 3.30582 ; 0 ; 0
81132000 ; 16.5141 ; 3.30566 ; 0 ; 0
81298000 ; 16.5141 ; 3.30589 ; 0 ; 0
81466000 ; 16.5336 ; 3.3062 ; 0 ; 0
81636000 ; 16.5397 ; 3.30605 ; 0 ; 0
81804000 ; 4.19591 ; 3.30284 ; 0 ; 0
81977000 ; 4.19713 ; 3.30315 ; 0 ; 0
82137000 ; 4.20808 ; 3.30284 ; 0 ; 0
82314000 ; 4.19956 ; 3.30284 ; 0 ; 0
82482000 ; 4.20687 ; 3.30299 ; 0 ; 0
82652000 ; 4.202 ; 3.30284 ; 0 ; 0
82827000 ; 4.20443 ; 3.30269 ; 0 ; 0
82994000 ; 4.20078 ; 3.30315 ; 0 ; 0
83173000 ; 4.19834 ; 3.30269 ; 0 ; 0
110935000 ; 4.19226 ; 3.30276 ; 0 ; 0
111101000 ; 4.18739 ; 3.30406 ; 0 ; 0
111287000 ; 4.19834 ; 3.30299 ; 0 ; 0
111456000 ; 4.19834 ; 3.30269 ; 0 ; 0
111641000 ; 4.19834 ; 3.30292 ; 0 ; 0
111820000 ; 4.19591 ; 3.30276 ; 0 ; 0
111988000 ; 4.20321 ; 3.30261 ; 0 ; 0
112153000 ; 3.68579 ; 3.30284 ; 0 ; 0
112332000 ; 3.72597 ; 3.30307 ; 0 ; 0
112502000 ; 3.66266 ; 3.30582 ; 0 ; 0
112669000 ; 3.67971 ; 3.30269 ; 0 ; 0
112843000 ; 3.69553 ; 3.30276 ; 0 ; 0
113018000 ; 4.22026 ; 3.30276 ; 0 ; 0
113205000 ; 4.20687 ; 3.30276 ; 0 ; 0
113380000 ; 4.21295 ; 3.30284 ; 0 ; 0
113553000 ; 4.2093 ; 3.30276 ; 0 ; 0
113709000 ; 4.21174 ; 3.30299 ; 0 ; 0
113877000 ; 4.20565 ; 3.30299 ; 0 ; 0
114043000 ; 17.297 ; 3.30536 ; 0 ; 0
114215000 ; 17.3968 ; 3.30711 ; 0 ; 0
114388000 ; 17.3359 ; 3.30605 ; 0 ; 0
114558000 ; 17.342 ; 3.30627 ; 0 ; 0
114729000 ; 17.3676 ; 3.3062 ; 0 ; 0
114901000 ; 4.19956 ; 3.30299 ; 0 ; 0
115069000 ; 4.21417 ; 3.30284 ; 0 ; 0
115239000 ; 4.20808 ; 3.30299 ; 0 ; 0
115415000 ; 4.22269 ; 3.30292 ; 0 ; 0
115585000 ; 4.20443 ; 3.30276 ; 0 ; 0
115757000 ; 4.20443 ; 3.30223 ; 0 ; 0
115929000 ; 4.20443 ; 3.30269 ; 0 ; 0
116104000 ; 4.22635 ; 3.30276 ; 0 ; 0
116260000 ; 4.21174 ; 3.30315 ; 0 ; 0
116436000 ; 4.19713 ; 3.30254 ; 0 ; 0
116626000 ; 4.22635 ; 3.30292 ; 0 ; 0
116801000 ; 4.20443 ; 3.30299 ; 0 ; 0
116969000 ; 4.19713 ; 3.30261 ; 0 ; 0
117137000 ; 4.20687 ; 3.30261 ; 0 ; 0
117304000 ; 17.2848 ; 3.30597 ; 0 ; 0
117479000 ; 17.342 ; 3.30536 ; 0 ; 0
117651000 ; 17.3091 ; 3.30566 ; 0 ; 0
117842000 ; 17.3177 ; 3.30589 ; 0 ; 0
118019000 ; 17.3603 ; 3.30589 ; 0 ; 0
118190000 ; 4.21539 ; 3.30315 ; 0 ; 0
118362000 ; 4.20443 ; 3.30246 ; 0 ; 0
118548000 ; 4.19713 ; 3.30269 ; 0 ; 0
118716000 ; 4.21174 ; 3.30261 ; 0 ; 0
118889000 ; 4.20808 ; 3.30444 ; 0 ; 0
119071000 ; 4.202 ; 3.30261 ; 0 ; 0
119238000 ; 4.21417 ; 3.30307 ; 0 ; 0
119416000 ; 4.20321 ; 3.3033 ; 0 ; 0
119593000 ; 4.21904 ; 3.30292 ; 0 ; 0
119761000 ; 4.21539 ; 3.30223 ; 0 ; 0
119931000 ; 4.21052 ; 3.30254 ; 0 ; 0
120103000 ; 4.21782 ; 3.30315 ; 0 ; 0
120303000 ; 4.21661 ; 3.30246 ; 0 ; 0
120478000 ; 4.22391 ; 3.30322 ; 0 ; 0
120658000 ; 4.21782 ; 3.30299 ; 0 ; 0
120843000 ; 4.22148 ; 3.30254 ; 0 ; 0
121021000 ; 4.20565 ; 3.30307 ; 0 ; 0
121188000 ; 4.20078 ; 3.30505 ; 0 ; 0
121371000 ; 4.21539 ; 3.30292 ; 0 ; 0
121542000 ; 4.22756 ; 3.30276 ; 0 ; 0
121718000 ; 4.1886 ; 3.30276 ; 0 ; 0
127035000 ; 4.21295 ; 3.30231 ; 0 ; 0
127194000 ; 4.2093 ; 3.30246 ; 0 ; 0
127355000 ; 4.19469 ; 3.30261 ; 0 ; 0
127531000 ; 4.19104 ; 3.30284 ; 0 ; 0
127708000 ; 4.20443 ; 3.30269 ; 0 ; 0
127874000 ; 4.2093 ; 3.30284 ; 0 ; 0
128067000 ; 4.21417 ; 3.30269 ; 0 ; 0
128236000 ; 4.20808 ; 3.30276 ; 0 ; 0
128407000 ; 16.2999 ; 3.30498 ; 0 ; 0
128587000 ; 16.3315 ; 3.3062 ; 0 ; 0
128756000 ; 16.3632 ; 3.30544 ; 0 ; 0
128937000 ; 16.4679 ; 3.30566 ; 0 ; 0
129105000 ; 16.4313 ; 3.30582 ; 0 ; 0
129274000 ; 16.4581 ; 3.30582 ; 0 ; 0
129452000 ; 16.4508 ; 3.30574 ; 0 ; 0
129624000 ; 16.4496 ; 3.30597 ; 0 ; 0
129786000 ; 16.4484 ; 3.30559 ; 0 ; 0
129957000 ; 16.4825 ; 3.30605 ; 0 ; 0
130125000 ; 16.48 ; 3.3062 ; 0 ; 0
130295000 ; 16.4825 ; 3.30605 ; 0 ; 0
130467000 ; 16.4849 ; 3.30605 ; 0 ; 0
130638000 ; 16.4825 ; 3.30589 ; 0 ; 0
130819000 ; 16.4934 ; 3.30544 ; 0 ; 0
130987000 ; 16.4922 ; 3.30605 ; 0 ; 0
131161000 ; 16.5068 ; 3.30566 ; 0 ; 0
131336000 ; 4.19469 ; 3.30269 ; 0 ; 0
131512000 ; 4.21174 ; 3.30307 ; 0 ; 0
131666000 ; 4.18617 ; 3.30322 ; 0 ; 0
131843000 ; 4.20443 ; 3.30254 ; 0 ; 0
132012000 ; 4.22391 ; 3.30269 ; 0 ; 0
132183000 ; 4.20808 ; 3.30276 ; 0 ; 0
132353000 ; 4.202 ; 3.30246 ; 0 ; 0
199939000 ; 4.20078 ; 3.30307 ; 0 ; 0
200098000 ; 4.20443 ; 3.30322 ; 0 ; 0
200281000 ; 4.19104 ; 3.30261 ; 0 ; 0
200469000 ; 4.18982 ; 3.30261 ; 0 ; 0
200642000 ; 4.19956 ; 3.30292 ; 0 ; 0
200810000 ; 4.19713 ; 3.30269 ; 0 ; 0
200989000 ; 4.21295 ; 3.30276 ; 0 ; 0
201169000 ; 4.21782 ; 3.30292 ; 0 ; 0
201326000 ; 4.21052 ; 3.30322 ; 0 ; 0
201518000 ; 4.20565 ; 3.30307 ; 0 ; 0
201687000 ; 4.20321 ; 3.30299 ; 0 ; 0
201864000 ; 4.20565 ; 3.30261 ; 0 ; 0
202053000 ; 4.21539 ; 3.30276 ; 0 ; 0
202238000 ; 4.19834 ; 3.30276 ; 0 ; 0
202433000 ; 4.20443 ; 3.30315 ; 0 ; 0
202613000 ; 4.20443 ; 3.30261 ; 0 ; 0
202793000 ; 4.19713 ; 3.30269 ; 0 ; 0
202975000 ; 4.19347 ; 3.30231 ; 0 ; 0
203147000 ; 17.4467 ; 3.30597 ; 0 ; 0
203324000 ; 17.3128 ; 3.30574 ; 0 ; 0
203504000 ; 17.3566 ; 3.30574 ; 0 ; 0
203684000 ; 17.3578 ; 3.30605 ; 0 ; 0
203865000 ; 4.21539 ; 3.30284 ; 0 ; 0
204045000 ; 4.21295 ; 3.30261 ; 0 ; 0
204231000 ; 4.21174 ; 3.30475 ; 0 ; 0
204411000 ; 4.22269 ; 3.30292 ; 0 ; 0
204609000 ; 4.21782 ; 3.30269 ; 0 ; 0
204799000 ; 4.21052 ; 3.30269 ; 0 ; 0
204975000 ; 4.20808 ; 3.30238 ; 0 ; 0
205152000 ; 4.202 ; 3.30254 ; 0 ; 0
205335000 ; 4.22026 ; 3.30276 ; 0 ; 0
205510000 ; 4.19713 ; 3.30482 ; 0 ; 0
