#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
97000000 ; 4.22447 ; 3.30276 ; 0 ; 0
97168000 ; 4.20621 ; 3.30269 ; 0 ; 0
97345000 ; 4.21716 ; 3.30246 ; 0 ; 0
97518000 ; 4.19525 ; 3.302 ; 0 ; 0
97692000 ; 4.21473 ; 3.30261 ; 0 ; 0
97860000 ; 4.2123 ; 3.30246 ; 0 ; 0
98036000 ; 4.21351 ; 3.30215 ; 0 ; 0
98217000 ; 4.19525 ; 3.30223 ; 0 ; 0
98407000 ; 16.421 ; 3.30505 ; 0 ; 0
98569000 ; 16.4295 ; 3.30574 ; 0 ; 0
98737000 ; 16.539 ; 3.30521 ; 0 ; 0
98909000 ; 16.5634 ; 3.30528 ; 0 ; 0
99080000 ; 16.5074 ; 3.30544 ; 0 ; 0
99266000 ; 16.5171 ; 3.30566 ; 0 ; 0
99445000 ; 16.5098 ; 3.30544 ; 0 ; 0
99628000 ; 16.5257 ; 3.30521 ; 0 ; 0
99796000 ; 16.5232 ; 3.30521 ; 0 ; 0
99969000 ; 16.5585 ; 3.30559 ; 0 ; 0
100131000 ; 16.5549 ; 3.30696 ; 0 ; 0
100317000 ; 16.539 ; 3.30528 ; 0 ; 0
100491000 ; 16.5451 ; 3.30536 ; 0 ; 0
100665000 ; 16.567 ; 3.30559 ; 0 ; 0
100854000 ; 16.5512 ; 3.30536 ; 0 ; 0
101025000 ; 16.5646 ; 3.30559 ; 0 ; 0
101201000 ; 4.21473 ; 3.30254 ; 0 ; 0
101377000 ; 4.20621 ; 3.30254 ; 0 ; 0
101552000 ; 4.1989 ; 3.30284 ; 0 ; 0
101726000 ; 4.21473 ; 3.30269 ; 0 ; 0
101899000 ; 4.20864 ; 3.30246 ; 0 ; 0
102065000 ; 4.20377 ; 3.30429 ; 0 ; 0
